"","docname","from","to","pre","keyword","post"
"15","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",206,206,"the "" Services "" to the aims and effects of this Proposal . In such cases , the Lender will be able to present to","Turner","a proposal written in relation to these Services , and the parts will be able to create a binding agreement with respect to the same"
"16","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",325,325,"and will comprise integral of the same . No Order of Work will enter use as much until being signed by an authorized representative of","Turner","as of the Lender . Any order of change with respect to an Order of Work will have on both sides to be signed ,"
"17","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",393,393,"conditions of the same . Notwithstanding the decided thing in the present , the parts recognize and decide that it will not be obligatory to","Turner","to contract to Service some the Lender in reason and / or on the occasion of the present , nor will be able to be"
"18","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",459,459,"favor of the Lender , reason for which the Lender will not have right some to compensation , benefit and / or indemnification supposing that","Turner","does not contract to Service some the Lender or contracts a third party such aims . Unless one remembers and he specifies specifically in the"
"19","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",519,519,"able to subcontract the Services , nor part of the same , to third party some without the previous one and it express authorization of","Turner","in writing . Any company and / or personnel that enter the facilities of the Lender to request of Turner will have to fulfill all"
"20","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",539,539,"and it express authorization of Turner in writing . Any company and / or personnel that enter the facilities of the Lender to request of","Turner","will have to fulfill all the effective norm , being to exclusive position of Turner to verify that the same count on personal insurances and"
"21","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",554,554,"that enter the facilities of the Lender to request of Turner will have to fulfill all the effective norm , being to exclusive position of","Turner","to verify that the same count on personal insurances and / or ART and / or of accidents of the work or other that in"
"22","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",599,599,"the work or other that in the future they can be , defining to LA CORTE S.A . of all responsibility on the matter .","Turner","will send to the Lender a listing in which details the list of the personnel of affected Turner to the development of activities in the"
"23","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",617,617,"of all responsibility on the matter . Turner will send to the Lender a listing in which details the list of the personnel of affected","Turner","to the development of activities in the facilities of the Lender , committing itself , also , to maintain the same updated . 2 ."
"24","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",701,701,"( ) year counted from the date of acceptance of the present Proposal being able to be renewed per periods similar to simple requirement of","Turner",". 2.2 . Rescission without cause . Notwithstanding indicated in section 1,1 the precedent , Turner will be able to at any time terminate this"
"25","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",717,717,"be renewed per periods similar to simple requirement of Turner . 2.2 . Rescission without cause . Notwithstanding indicated in section 1,1 the precedent ,","Turner","will be able to at any time terminate this Proposal and without needing expressing cause some , by means of notification of the will to"
"26","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1023,1023,"2.5 Return of Materials . In case of rescission or victory of the present Proposal or any Order of Work , and to order of","Turner",", the Lender will have to give back to Turner all the goods , equipment and provisions To alternate and the Materials of Tumer ,"
"27","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1033,1033,"victory of the present Proposal or any Order of Work , and to order of Turner , the Lender will have to give back to","Turner","all the goods , equipment and provisions To alternate and the Materials of Tumer , and will have to give all the materials related to"
"28","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1089,1089,", including the Material and all the Results in process and the situation reports related to the same . The only and exclusive obligation of","Turner","towards the Lender in case of rescission by virtue of Clause 8,3 ( Rescission without Cause ) and 8,4 ( Bankruptcy ; Dissolution ) will"
"29","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1358,1358,"have to remove to the brevity to that employee and / or subcontractor of the benefit of such tasks or Services . To request of","Turner",", the Lender will have to provide to the brevity an employee and / or subcontractor available with the same or better qualifications and abilities"
"30","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1404,1404,"or better qualifications and abilities to continue the tasks or of completing the rest of the Order of pertinent Work , without greater cost for","Turner",". 3,2 Independent Contractors . The Lender recognizes and decides that the Lender and his employees , representatives and contractors are independent contractors , and"
"31","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1459,1459,"employees of Tumer . The Lender recognizes and decides that the Lender and his employees , representatives , contractors and suppliers are not used of","Turner","and they will not be tried as such in any moment , or by the Lender or To alternate . It will not be able"
"32","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1576,1576,"will specifically prevent the Lender to celebrate commitments with the unions in the name of Tumer or its tie ones , or to force to","Turner","or its tie ones to arbitrate in any conflict between the Lender and his employees or any organization who represent them . The Lender guarantees"
"33","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1675,1675,"the only person in charge of the payment of all the taxes that could be applied or be received in relation to the payments that","Turner","does to the Lender by virtue of the present ( except the Tax of Seals that will be supported , in case of corresponding ,"
"34","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1833,1833,"act by virtue of this Proposal . The Lender will be totally responsible for , and will have to compensate and to maintain undamaged to","Turner","with respect to , any reclamation of third parties related to the breach of the referred guarantee on the part of the Lender , as"
"35","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",1983,1983,", life insurance , vacation , travel allowance and other programs of health and well-being or other programs of benefits for the personnel that maintain","Turner",", their controlantes , related or affiliates , even if later they described as employees by virtue of the system of common right . Without"
"36","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",2189,2189,"the obligations and liabilities that are incurred , including without limitation , for taxes or benefits for the personnel that arise from the return that","Turner","pays to the Lender by virtue of the present . The Lender commits himself to present a monthly detail of employees affected to the Services"
"37","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",2291,2291,"the Administrator of Risks of Work ( ART ) , being this delivery of substantial fulfillment to the aims of the present . 3.3 .","Turner","at any moment will be able , in case , by third parties by this one designated either through Argentino de Televisión Union , Audio-visual"
"38","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",2388,2388,"part of this one of corresponding the labor and union obligations in as much tie with the services anticipated in the present . 3.5 .","Turner","will not be able to celebrate commitments with the unions in the name of Lender or his tie ones . - Turner guarantees that all"
"39","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",2410,2410,". 3.5 . Turner will not be able to celebrate commitments with the unions in the name of Lender or his tie ones . -","Turner","guarantees that all the employees , representatives , contractors and suppliers contracted or provided in relation to its company that the facilities of the Lender"
"40","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",2921,2921,"partners , contractors , employees and / or personnel of the Lender , this one will be forced to transfer said rights of author to","Turner","immediately . In addition , in case any of the rights before referred had been , previous written approval of Tumer , new recruits by"
"41","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3006,3006,"remuneration or exemptions received as a result of this inscription . In the same way , the Lender commits himself to yield these inscriptions to","Turner","immediately , to simple requirement of Turner . For the purposes of the cession of the rights of author of the Lending one on the"
"42","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3013,3013,"of this inscription . In the same way , the Lender commits himself to yield these inscriptions to Turner immediately , to simple requirement of","Turner",". For the purposes of the cession of the rights of author of the Lending one on the referred Results , the Lender decides to"
"43","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3050,3050,"author of the Lending one on the referred Results , the Lender decides to cooperate to the brevity with Tumer , at the expense of","Turner",", with a view to subscribe all the documents regarding this cession . In the measurement that anyone of the rights , ownership and interests"
"44","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3086,3086,"this cession . In the measurement that anyone of the rights , ownership and interests on the Results cannot be yielded by the Lender to","Turner",", the Lender hereby grants to Turner an exclusive license , without position , transferable , irrevocable and world-wide ( with the right to receive"
"45","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3093,3093,"anyone of the rights , ownership and interests on the Results cannot be yielded by the Lender to Turner , the Lender hereby grants to","Turner","an exclusive license , without position , transferable , irrevocable and world-wide ( with the right to receive the master's degree through several levels of"
"46","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3160,3160,"In the measurement that anyone of the rights , ownership and interests on the Results cannot be yielded nor be licensed by the Lender to","Turner",", the Lending resignation of irrevocable way and he never decides to claim such rights , ownership and interests against Tumer or its successors ."
"47","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3306,3306,"the Lender could contract , will be subject to the aforesaid thing , and the Lender will be responsible to obtain and to give to","Turner","recognition written in such sense . 4,2 Own Materials . With respect to any technology , material , procedure or method preexisting of the Lender"
"48","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3471,3471,"If he were not realised this - ~ identification in the respective Report of Entregables , all the materials , Services and Material provided to","Turner","by virtue of this Proposal and / or an Order of Work Results by virtue of the present and of ownership of Turner in the"
"49","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3494,3494,"provided to Turner by virtue of this Proposal and / or an Order of Work Results by virtue of the present and of ownership of","Turner","in the terms anticipated in previous clause 4,1 will be considered . With respect to those Materials Own informed in Report into Entregables opportunely to"
"50","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3526,3526,"clause 4,1 will be considered . With respect to those Materials Own informed in Report into Entregables opportunely to Tumer , Lender hereby grant to","Turner","license totally paid , without cost , to perpetuity , irrevocable , world-wide and not exclusive , so that Turner to its criterion can adapt"
"51","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3546,3546,", Lender hereby grant to Turner license totally paid , without cost , to perpetuity , irrevocable , world-wide and not exclusive , so that","Turner","to its criterion can adapt , reproduce , add , eliminate , publish , modify , duplicate , distribute , license , only execute ,"
"52","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3681,3681,"or spreading to third parties in independent form of the Results , except of the way incorporated within the Results . 4.3 Materials · of","Turner",". The ownership of all the materials , applications , systems , contents , data , information , provided documentation or putting at the disposal"
"53","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3711,3711,"all the materials , applications , systems , contents , data , information , provided documentation or putting at the disposal of the Lender by","Turner",", or in oral or written form , including of nonrestrictive way specifications of systems , financial information , and all the Lagos , brands"
"54","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3765,3765,"of author , patents and commercial secrets with the aforesaid thing ( jointly denominated the "" Materials of Tumer "" ) will continue being of","Turner",". The Lender will not be able to disclose , to distribute or generally to spread the Materials of Tumer to third parties , except"
"55","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3835,3835,", ( b ) subcontractors of the Lender approved to porTumer , and ( c ) generally in agreement with which approves or contemplates to","Turner","and the Lender , and only in relation to the benefit of Services by virtue of the corresponding Order of Work . The Lender will"
"56","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3912,3912,"able to take any measurement that interferes with that is opposite to the ownership of Tumer on the Materials of Tumer . To order of","Turner","or in case of rescission of this Proposal , which happens first , the Lender will have , to option of Tumer , to destroy"
"57","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",3976,3976,"to give back all the copies to Tumer , and in any case he will have to present a certification written in such sense .","Turner","hereby grants to the Lender a license totally paid , without position , nonexclusive , on the Materials of Tumer , in the necessary or"
"58","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",4042,4042,"resale , lease , distribution or spreading to third parties . 5 . PRICE 5.1 Price . All the honoraria and expenses to pay by","Turner","will settle down in corresponding Order of Work . The Price constitutes a supply firmly , therefore it is under exclusive responsibility of the Lender"
"59","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",4191,4191,"surplus caused by lack of the Lender , not having right to the reimbursement of no additional cost except for previous authorization in writing of","Turner",". 5.2 Facturas . All the invoices will be sent to the address and the contact indicated in the corresponding Order of Work , and"
"60","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",4249,4249,"description of served . Additionally , all invoice issued by the Lender will have to contain the number of corresponding order of purchase emitted by","Turner",", being condition for it that Turner opportunely communicates to the Lender the corresponding number at your service of purchase by the involved Order of"
"61","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",4256,4256,"invoice issued by the Lender will have to contain the number of corresponding order of purchase emitted by Turner , being condition for it that","Turner","opportunely communicates to the Lender the corresponding number at your service of purchase by the involved Order of Work . 5 < = = ="
"62","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",4389,4389,"by the sums objected by Tumer , will be payable by Tumer within the thirty ( 30 ) days as of the date in which","Turner","receives each invoice , unless these invoices were opposed by Turner within the ten ( 10 ) received days of via mail to the administracion@lacorte.com.ar"
"63","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",4400,4400,"Tumer within the thirty ( 30 ) days as of the date in which Turner receives each invoice , unless these invoices were opposed by","Turner","within the ten ( 10 ) received days of via mail to the administracion@lacorte.com.ar direction . Before breach in the payment in term of the"
"64","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",4629,4629,". In case of material breach on the part of the Lender of the obligations anticipated in the present or any Order of Work ,","Turner","will have right to only suspend to the payments corresponding to the service object of the Order of Work in breach , until this breach"
"65","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",5730,5730,". 8 . RESPONSIBILITY General obligation To compensate of the Lender . The Lender will have to compensate , to defend ( to option of","Turner",") and to maintain undamaged to Tumer and its controlante , subsidiaries and to the affiliates of Tumer , and their respective civil servants ,"
"66","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",5770,5770,"the affiliates of Tumer , and their respective civil servants , directors , employees , and representatives ( jointly denominated the "" Compensated Parts of","Turner",""" ) with respect to any reclamation , judgment , process , sentences , responsibility , damage , demand or cost , or are fixed"
"67","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",5880,5880,"remuneration to the employees of the Lender , and honoraria and reasonable expenses not related to the Materials of Tumer ( a "" Reclamation of","Turner",""" ) . Turner will have to notify the Lender , to the brevity and in writing , on any Reclamation of Tumer , with"
"68","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",5884,5884,"of the Lender , and honoraria and reasonable expenses not related to the Materials of Tumer ( a "" Reclamation of Turner "" ) .","Turner","will have to notify the Lender , to the brevity and in writing , on any Reclamation of Tumer , with the reservation of which"
"69","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",5958,5958,"as the Lender had undergone a real and substantial damage as a result of the lack of opportune notification with respect to a Reclamation of","Turner",". Turner will offer to the Lender the attendance and information reasonably necessary to fulfill the obligations of the Lender by virtue of this clause"
"70","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",5960,5960,"Lender had undergone a real and substantial damage as a result of the lack of opportune notification with respect to a Reclamation of Turner .","Turner","will offer to the Lender the attendance and information reasonably necessary to fulfill the obligations of the Lender by virtue of this clause . The"
"71","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6140,6140,"common legislation , that they protect his personnel , employees , or contracted . Consequently , the Lender commits himself to maintain TOTALLY UNDAMAGED to","Turner","by any reclamation that this one must confront by virtue of precedingly declared . . The present clause will not be applicable for any type"
"72","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6175,6175,"virtue of precedingly declared . . The present clause will not be applicable for any type of obligation that it established the present contract in","TURNER","head being this only person in charge against their partners , affiliates , controlantes , controlled and / or associated to this by any type"
"73","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6243,6243,"/ or any employee or contractors for whom Tumer must be responsible . 9 . AFFILIATES However , the dispositions of any other document ,","Turner","will have right to yield to their present and / or future affiliates and successors everything or leave from this Proposal . For the purposes"
"74","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6334,6334,"in convincing form by a legal representative of the COURT , by virtue of remembering the contract intuito character personae , being in charge of","TURNER","in this assumption all the expenses that are derived from the same cession , their taxes and tributes unless agreement in opposite between the parts"
"75","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6709,6709,"of the aforesaid declarations and guarantees could have stopped being truth or could have failed to fulfill , the Lender will have to notify immediately","Turner","in writing . When receiving this notification written , the parts , according to corresponds , will be consulted to consider the questions emergent of"
"76","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7061,7061,"understood that it contributes or it causes that a director , civil servant , employee , agent , representative , consultant or independent contractor of","Turner","or his controlantes or affiliates violate the arranged thing in the FCPA , or the Patriotic Law of the United States ( "" the USA"
"77","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7249,7249,"if therefore it determined any court or another governmental authority to it ) , the Lender it will have to inform in writing immediately to","Turner","and , in the case I decipher in the interjection ( II } , will have to take all the appropriate measures to correct this"
"78","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7451,7451,"understood that it contributes or it causes that a director , civil servant , employee , agent , representative , consultant or independent contractor of","Turner","or his controlantes or affiliates violate the arranged thing in the FCPA , or the Patriotic Law of the United States ( "" the USA"
"79","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7639,7639,"if therefore it determined any court or another governmental authority to it ) , the Lender it will have to inform in writing immediately to","Turner","and , in the case I decipher in the interjection ( II } , will have to take all the appropriate measures to correct this"
"80","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7735,7735,"to solve these questions of satisfactory way . 11GENERAL DISPOSITIONS 11.1 Publicity . The Lender will not be able , without the previous consent of","Turner","by writing in each particular case , ( a ) to use in propaganda , publicity , articles , websites , material of marketing ,"
"81","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7774,7774,"propaganda , publicity , articles , websites , material of marketing , promotes ! or of sales , or generally to use the name of","Turner","or anyone of the Affiliates of Turner , or any partner or employee of Tumer or the Affiliates of Turner , neither either any commercial"
"82","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7781,7781,", material of marketing , promotes ! or of sales , or generally to use the name of Turner or anyone of the Affiliates of","Turner",", or any partner or employee of Tumer or the Affiliates of Turner , neither either any commercial designation , does not mark , logo"
"83","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7794,7794,"to use the name of Turner or anyone of the Affiliates of Turner , or any partner or employee of Tumer or the Affiliates of","Turner",", neither either any commercial designation , does not mark , logo , commercial device or simulation of the same of property of Turner or"
"84","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7818,7818,"of Turner , neither either any commercial designation , does not mark , logo , commercial device or simulation of the same of property of","Turner","or the Affiliates of Tumer , nor ( b ) to express , directly or indirectly , that any product or served by the Lending"
"85","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7904,7904,". The Lender has prohibited to yield the Proposal and any Order of Work , total or partially , without the previous written consent of","Turner",", and any attempt to carry out this cession will be null and without effect . The sale or transference of the assets , equity"
"86","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7987,7987,"rise to the transference of the control of the votes , consider a cession of this Proposal , that will demand the previous consent of","Turner",". Turner will be able to yield present as well as the any Order of Work without limitation some to any Affiliate of Turner ,"
"87","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7989,7989,"the transference of the control of the votes , consider a cession of this Proposal , that will demand the previous consent of Turner .","Turner","will be able to yield present as well as the any Order of Work without limitation some to any Affiliate of Turner , in the"
"88","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8011,8011,"of Turner . Turner will be able to yield present as well as the any Order of Work without limitation some to any Affiliate of","Turner",", in the terms of Clause 9 of the present . 11.3 Greater force . No of the parts will be responsible for delays or"
"89","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8199,8199,"anticipate with means to its reach . 11 GENERAL DISPOSITIONS 11.1 Publicity . The Lender will not be able , without the previous consent of","Turner","by writing in each particular case , ( a ) to use in propaganda , publicity , articles , websites , material of marketing ,"
"90","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8238,8238,"propaganda , publicity , articles , websites , material of marketing , promotes ! or of sales , or generally to use the name of","Turner","or anyone of the Affiliates of Turner , or any partner or employee of Tumer or the Affiliates of Turner , neither either any commercial"
"91","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8245,8245,", material of marketing , promotes ! or of sales , or generally to use the name of Turner or anyone of the Affiliates of","Turner",", or any partner or employee of Tumer or the Affiliates of Turner , neither either any commercial designation , does not mark , logo"
"92","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8258,8258,"to use the name of Turner or anyone of the Affiliates of Turner , or any partner or employee of Tumer or the Affiliates of","Turner",", neither either any commercial designation , does not mark , logo , commercial device or simulation of the same of property of Turner or"
"93","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8282,8282,"of Turner , neither either any commercial designation , does not mark , logo , commercial device or simulation of the same of property of","Turner","or the Affiliates of Tumer , nor ( b ) to express , directly or indirectly , that any product or served by the Lending"
"94","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8368,8368,". The Lender has prohibited to yield the Proposal and any Order of Work , total or partially , without the previous written consent of","Turner",", and any attempt to carry out this cession will be null and without effect . The sale or transference of the assets , equity"
"95","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8451,8451,"rise to the transference of the control of the votes , consider a cession of this Proposal , that will demand the previous consent of","Turner",". Turner will be able to yield present as well as the any Order of Work without limitation some to any Affiliate of Turner ,"
"96","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",8453,8453,"the transference of the control of the votes , consider a cession of this Proposal , that will demand the previous consent of Turner .","Turner","will be able to yield present as well as the any Order of Work without limitation some to any Affiliate of Turner , in the"
